Company ID,Revenue,Employee Count,Credit Rating,Risk,Expenses,Research and Development Spend,Profit,Debt-to-Equity Ratio,Price-to-Earnings Ratio,Market Capitalization
1050,108.50776434015483573603,5695,B,1,13.614721016075135,33.490352987826654,94.89304332407971,1.745758939004603,20.659127697022644,2159.6658647725294
303,316.25404864404259797084,5490,B,0,235.3028570938439,16.27190787205501,80.9511915501987,0.7247827890742615,27.421956045748693,1828.014221077556
4253,235.72210692382697061475,8164,BBB,1,195.83924740965955,6.210686923233523,39.88285951416742,1.4819716824443228,8.83080800586528,354.0067518439832
1584,298.70674354366775560266,9295,A,0,271.77716267529223,6.333781242921689,26.929580868375524,1.6854549189607495,26.69569784328424,598.6126727818723
379,425.78739303557432549496,1431,BBB,0,340.98909354089653,28.933569921072397,84.79829949467779,1.7314341999149985,16.1016184348563,1602.9845054837697
4083,350.13206798178157441725,5220,B,0,303.6686286675691,15.632946861778455,46.46343931421245,1.77748208262585,26.018653867170375,1283.4165349505013
2064,283.69595103878322106539,2171,A,0,201.41468063385017,14.507664732443748,82.28127040493308,0.6644462198132981,12.044637415113966,994.6763102435456
1265,104.64821596324026131697,6837,AAA,0,17.2451576113493,28.102733221327135,87.40305835189096,1.2136100182064566,29.622606228372813,3031.437041460264
18,309.90257265289511678930,3565,A,0,264.13716983723674,26.490046980343102,45.765402815658376,0.7600549873256438,13.50427375971224,617.2593914230082
2028,492.51883619889861165575,1289,A,0,393.7730778937754,6.255941197796774,98.74575830512327,0.5625467046546149,12.635937557371433,1065.5983876165803
3069,200.35721827644098880228,1703,BBB,0,144.4273451620209,39.527985618414185,55.92987311442008,1.6207791203176964,24.45225559621852,1328.2413699350654
2277,397.43756647062389220082,504,A,0,353.32107155777044,23.41727278907829,44.116494912853454,1.3101927933110695,10.760516633915616,532.2059559880988
4896,132.23232491460544224537,5693,AAA,1,104.21301529319814,31.996006818076157,28.019309621407302,1.9446100628215173,27.145607276165588,798.450455189835
3738,400.47085478161710625500,5201,BB,1,374.0722561578767,13.914480741403974,26.398598623740384,0.8450434792416173,15.351548505333536,343.6231715667887
4519,178.51772092442681127977,8801,AA,0,116.1628616811247,26.801209596981103,62.3548592433021,1.477334971419452,16.32834621800425,863.4486732780997
1864,318.01076755877534196770,6208,BBB,1,291.7937740874373,49.92731960036488,26.21699347133801,1.6621475210517944,18.952711030413106,461.16416296726027
905,268.56982023699919182036,5698,BB,1,240.63813125478927,37.466843424644715,27.93168898220992,0.8379470427293851,17.55320239464062,515.6016268264136
4821,213.67371828469151751051,4980,AA,0,142.76390182792426,32.00930859167021,70.90981645676726,1.8280481815873604,19.216240904475125,1468.393388610482
4517,308.55080858949645516986,521,AAA,0,250.99601961717295,38.024948349044344,57.554788972323514,0.7264202847395982,19.3539166607888,895.7590879254666
3135,180.11280714705034711187,7350,BB,0,105.59595814567663,45.4308506815349,74.51684900137371,0.4746912047389014,22.31409978785832,1737.241612986412
923,457.82089075763656182971,498,BBB,1,423.83809172696726,30.33521437913137,33.9827990306693,0.4899444608825874,11.087656518464868,403.94828141170507
3611,328.50418797483894195466,8953,BBB,1,275.05365999134915,33.92362780067191,53.45052798348979,0.341526654528392,10.393087261640236,593.669999677651
1932,324.59383518380946043180,8999,BB,0,297.1122252959767,18.331360243370128,27.481609887832743,1.9620007896387297,25.630374872614325,611.3017931101629
4739,249.92996973999908050246,649,BBB,0,204.98775799559732,35.16952298282338,44.94221174440176,1.9387956646735531,22.998491108686505,1042.7406904284144
3395,460.38435827618712892217,6052,AAA,1,377.3315752253306,13.853323509456198,83.05278305085653,0.9040283951008342,23.74887752760195,2212.8546126211363
2474,388.85729418236229548711,1018,B,0,327.83730219884796,11.816827457543368,61.019991983514394,0.3061143893761897,6.197450536685621,349.8655339784279
1239,487.27737116588866683742,5773,AAA,0,397.9316523108096,32.269382161927574,89.3457188550791,1.4136342459085351,27.788726207629328,2896.285732580535
3709,212.64641684225270523712,7197,AA,0,187.2227051760037,14.999018588423818,25.423711666249005,1.2310904285025552,26.049017030844855,714.1107230168169
73,102.20884684944095965875,9537,AA,0,43.40740784751766,5.836642638036501,58.8014390019233,0.3165277645804893,16.131977920931117,841.6089583227134
1939,299.30227290538147144616,9546,BBB,0,239.4663854988004,42.438994193697674,59.83588740658109,1.1861964195886148,5.83359244647396,402.32046455695126
3922,260.08491033986882712270,3874,BB,1,237.0286876392775,45.748417032710904,23.056222700591288,1.125093592674034,25.179001957304607,521.2083746975205
2054,478.27925880011292747440,8622,AA,0,419.5755070734892,32.22525739025941,58.703751726623686,0.1882527528429469,9.045716531707264,544.8572095122703
4302,475.82743561006628851828,2942,CCC,0,416.2229599576995,16.171408918456248,59.604475652366766,0.3747938424345501,5.284334150116217,259.98302045950584
4976,278.69058748105624090385,9505,A,1,243.79099241707428,37.70193586687781,34.89959506398196,1.8699104226782,28.933121213180105,864.0891951458356
1771,283.77870736239464122264,8120,CCC,0,254.75146380104388,29.37158502229735,29.02724356135076,0.6192934814420671,12.565140522717597,348.191389863667
2016,264.43824104028260535415,4414,BBB,1,175.18663813046405,33.08621712251458,89.25160290981856,0.6087281645251291,8.321543710688124,705.5898426296635
